trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,congruent,left,<<<<<,no_response,0,
2,practice,incongruent,right,<<><<,no_response,0,
3,practice,incongruent,right,<<><<,right,1,699
4,practice,incongruent,right,<<><<,right,1,546
1,main,congruent,left,<<<<<,left,1,948
2,main,incongruent,left,>><>>,left,1,583
3,main,congruent,right,>>>>>,right,1,479
4,main,incongruent,left,>><>>,left,1,532
5,main,congruent,left,<<<<<,left,1,501
6,main,incongruent,left,>><>>,left,1,601
7,main,incongruent,left,>><>>,left,1,497
8,main,incongruent,right,<<><<,right,1,445
9,main,incongruent,left,>><>>,left,1,546
10,main,congruent,left,<<<<<,left,1,447
11,main,congruent,right,>>>>>,right,1,363
12,main,congruent,right,>>>>>,right,1,562
13,main,congruent,left,<<<<<,left,1,446
14,main,incongruent,right,<<><<,right,1,380
15,main,incongruent,right,<<><<,right,1,545
16,main,congruent,right,>>>>>,right,1,542
17,main,congruent,left,<<<<<,left,1,395
18,main,incongruent,left,>><>>,left,1,532
19,main,congruent,right,>>>>>,right,1,481
20,main,congruent,left,<<<<<,left,1,393
