trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,congruent,right,>>>>>,right,1,597
2,practice,incongruent,right,<<><<,right,1,590
3,practice,incongruent,left,>><>>,left,1,495
4,practice,incongruent,left,>><>>,right,0,397
1,main,congruent,left,<<<<<,left,1,567
2,main,incongruent,right,<<><<,right,1,532
3,main,congruent,right,>>>>>,right,1,479
4,main,incongruent,right,<<><<,right,1,548
5,main,incongruent,right,<<><<,right,1,602
6,main,congruent,right,>>>>>,right,1,429
7,main,incongruent,right,<<><<,right,1,567
8,main,congruent,right,>>>>>,right,1,445
9,main,congruent,left,<<<<<,left,1,394
10,main,incongruent,left,>><>>,left,1,567
11,main,incongruent,left,>><>>,left,1,497
12,main,incongruent,right,<<><<,right,1,596
13,main,congruent,right,>>>>>,right,1,429
14,main,incongruent,right,<<><<,right,1,626
15,main,incongruent,left,>><>>,left,1,497
16,main,congruent,right,>>>>>,right,1,463
17,main,congruent,left,<<<<<,left,1,394
18,main,congruent,right,>>>>>,right,1,362
19,main,congruent,left,<<<<<,left,1,362
20,main,congruent,right,>>>>>,right,1,446
